file,name,x,y,width,length,rotation,split_alpha,opacity
0.png,b00,113.25,96.28333333333332,7.0,8.0,1.61,None,0.2
0.png,b01,111.75,108.8625,7.0,10.0,4.87,None,0.2
1.png,b00,112.90549626883207,96.32918490015608,6.4164016833830875,10.666993326318748,1.511555558674259,None,0.2
1.png,b01,110.8562572883157,109.2584092067798,6.971529202836153,10.918509535524747,5.136732119805604,None,0.2
2.png,b00,112.25249949398805,96.34234445101778,6.327973420965713,11.4526360087518,1.3732537455460119,None,0.2
2.png,b01,110.61513074849793,109.08409130354097,6.787906860089149,11.975818417200776,5.214107647672297,None,0.2
3.png,b00,111.89429306991158,96.58579641101772,6.143086118777228,10.781475231284304,1.427142318393345,None,0.2
3.png,b01,109.96407225112917,109.55062039028071,6.696069423774204,11.077954385172225,5.240340317357615,None,0.2
4.png,b00,111.16974069525115,96.72452498772769,6.3955014052831185,11.215392138810486,1.376202546092535,None,0.2
4.png,b01,109.62364108856124,109.55700244773175,6.160660535810251,11.944869025790691,5.2730377990972,None,0.2
5.png,b00,110.82286526280834,96.7894715604245,6.615699399970925,12.007204417862106,1.2225154010521089,None,0.2
5.png,b01,108.80990207996958,109.94544269763139,6.916400438590473,12.497106512950207,5.402051029591607,None,0.2
6.png,b00,110.28717024957729,97.07534356963224,6.599198632825644,11.774017122773776,1.230646592083872,None,0.2
6.png,b01,108.2916016857918,110.04330326765268,6.392976639921154,12.612339549009533,5.4199712184324556,None,0.2
7.png,b00,109.94492309256088,97.18333979967157,6.445417381995744,12.428196389571822,1.2081022504493673,None,0.2
7.png,b01,107.92440519248522,109.8610274998512,6.016571426065308,13.390701047996227,5.409311723316069,None,0.2
8.png,b00,109.35463129410088,97.27984854123736,6.428613786273133,12.575759365099909,1.1394088460971743,None,0.2
8.png,b01,107.26297380792789,110.13447587031061,6.4579721297261115,13.41335753590141,5.442380993656002,None,0.2
9.png,b00,109.23493564669474,97.44190476749642,6.36940815234171,13.185196454124945,1.098217507944983,None,0.2
9.png,b01,107.42770270715971,110.35503853678401,6.870432174081536,13.183528643846241,5.559707554161307,None,0.2
10.png,b00,108.99661599161378,97.4646870160404,6.080861519045938,13.73596640618537,1.0222662567920124,None,0.2
10.png,b01,106.92517948402849,110.20107271305892,6.6517991088426465,14.079330830772466,5.545538194118938,None,0.2
11.png,b00,108.49266533855965,97.14734107855989,6.276263243171771,13.626142654579315,0.9614777076072626,None,0.2
11.png,b01,106.52177203959332,109.7843862151844,6.5416064509606295,14.360325104808307,5.426319086444552,None,0.2
12.png,b00,108.15806788821439,97.2708804256637,6.037561086982907,13.871194124369884,0.963267924888948,None,0.2
12.png,b01,106.22420224777113,109.98279920007903,6.22671790821432,15.123521631366012,5.543996655132554,None,0.2
